word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
litr,U,3.1153846,1.4615384,1.4230769,2.0384614,1.5769231,4.8546557,6.8903513,6.906429,6.283264,6.7409773,3.0897505
puszcza,U,4.0,1.5384616,1.6923077,3.6923077,1.6153846,4.826647,7.717235,7.5863843,5.5125003,7.6258564,5.134174
malaria,U,1.2307693,3.4615386,4.3461537,5.3461537,5.0384617,9.903406,8.650454,7.9484587,7.030922,7.380303,7.7438965
"przenosić",U,2.2692308,2.1153846,1.9615384,2.1538463,1.5384616,5.996404,6.272702,6.457477,6.2559333,6.733915,2.6425645
"leczyć",U,3.3461537,1.3846154,1.9615384,2.9615386,1.6153846,5.005492,7.3492203,6.804453,5.8858867,7.1469097,4.2669497
wyrazisty,U,3.4615386,1.5,1.4615384,1.6923077,1.3461539,4.298332,6.770026,6.8162503,6.612734,6.901143,3.1048012
zdzira,U,1.3461539,4.8461537,3.5384614,2.7307692,4.8076925,9.1072,6.516022,7.6973643,8.336312,6.3540754,7.0062666
staw,U,3.8461537,1.6153846,1.7692307,2.4230769,1.6153846,4.433829,7.3326397,7.182174,6.5144906,7.319888,4.2901
"kapitulować",U,1.3461539,3.8461537,4.1153846,3.6538463,2.6153846,8.552308,6.756124,6.551775,6.8760977,7.654018,5.857692
ciasto,U,5.230769,1.4615384,1.5769231,1.5,1.4615384,2.541616,7.5949917,7.4902444,7.5659227,7.5929513,4.9214807
"gardło",U,1.5,2.0,1.8461539,2.4615386,1.9615384,6.64949,6.4609756,6.5889325,5.95124,6.33914,2.863666
"opiekuńczy",U,5.4615383,1.5769231,1.4230769,1.6923077,1.3076923,2.5195868,7.5680103,7.6954126,7.502892,7.763926,5.007343
magia,U,4.1923075,1.6538461,1.7307693,2.8846154,1.7307693,4.1542096,7.610348,7.5575037,6.4109726,7.530433,4.9510655
cytat,U,3.1538463,1.5,1.7307693,1.5384616,1.1923077,4.6583548,6.6015935,6.429735,6.525616,6.865705,2.8617945
hymn,U,4.730769,1.3076923,1.7307693,1.4615384,1.2692307,3.0599086,7.3594737,6.936208,7.2463202,7.3881273,4.272866
"wskazywać",U,2.1538463,2.0384614,1.7692307,2.2307692,1.8076923,6.038529,6.39961,6.648178,6.120572,6.5198236,2.8819098
getto,U,1.1538461,5.1923075,5.6153846,5.230769,5.0,10.765377,8.39454,8.004296,8.322442,8.5846195,8.792719
"wieżowiec",U,3.0,2.1923077,2.1153846,2.9230769,1.8076923,5.782615,6.944695,7.0464826,6.2208767,7.297555,4.421035
tajemnica,U,3.8461537,2.2307692,1.8076923,3.2692308,1.9230769,5.240198,7.0003643,7.349938,6.1003885,7.281023,4.8978753
"odmawiać",U,1.8846154,3.2307692,3.1153846,3.3846154,2.6153846,7.4389296,6.6108394,6.7379384,6.502838,7.2262516,5.172878
kasyno,U,2.6153846,3.1538463,2.4230769,3.6153846,3.2307692,6.9694552,6.915607,7.583587,6.586233,6.8070254,5.580099
"opanować",U,3.8846154,1.9230769,1.7692307,2.3461537,1.4230769,4.6115713,7.08179,7.1252847,6.7291865,7.350613,4.049535
tragiczny,U,1.1538461,3.3076923,4.923077,4.6153846,2.5,8.984623,7.390615,5.822251,6.3146367,8.098682,6.6274395
"żartować",U,4.923077,2.3461537,1.5,1.7307693,1.4615384,3.263266,6.718459,7.5330114,7.3597493,7.5793943,4.916435
dziwny,U,2.1153846,2.0769231,2.1153846,3.1923077,2.6923077,6.4965296,6.680194,6.6389155,5.5792303,6.120074,4.1492176
"telepać",U,1.6538461,2.8461537,2.4615386,3.1153846,2.8846154,7.236881,6.394187,6.879165,6.223159,6.469136,4.5855746
klient,U,2.6923077,2.8076923,1.9615384,2.5384614,2.1538463,6.023325,6.1812897,7.0658984,6.429195,6.849625,4.2491093
peerelowski,U,1.9615384,3.3846154,3.3461537,3.0384614,3.3076923,7.5467806,6.6750584,6.6825924,6.8892183,6.677042,5.3856664
papuga,U,4.1153846,1.5384616,1.3846154,1.7692307,1.4230769,3.779718,6.8489127,7.012101,6.7159824,6.9660444,3.7827787
"założenie",U,2.2307692,1.6923077,1.6538461,2.0769231,1.6538461,5.5519223,6.2012563,6.264656,5.7905045,6.2254972,2.6139767
herezja,U,1.2307693,4.0384617,3.5769231,3.3076923,3.5384614,8.609925,6.4225254,6.711907,7.113961,6.8888373,5.908532
"rdzewieć",U,1.4615384,2.6153846,3.0384614,2.3076923,2.3076923,7.178841,6.1624146,5.830342,6.5882316,6.459501,3.868659
piwnica,U,2.1923077,1.9615384,2.0384614,3.5,3.0,6.825256,7.3690915,7.2896914,5.924557,6.4555087,4.532573
"łaska",U,3.8076923,2.3461537,1.9615384,2.0384614,2.1538463,4.7462826,6.9569097,7.406121,7.3122,7.222036,5.0611796
bezduszny,U,1.2692307,4.4615383,4.4615383,3.9615386,4.4615383,9.518052,7.33404,7.2389417,7.826423,7.3957267,7.444288
kabel,U,1.8846154,3.0769231,2.2692308,2.8076923,2.5384614,7.1893687,6.405703,7.140525,6.693085,6.958005,4.3498187
"tyrać",U,1.1923077,5.0384617,3.8076923,3.3076923,3.5,9.113485,5.993392,7.3735256,7.7404485,7.5903034,6.7992907
"wysadzać",U,2.0384614,2.6153846,2.6923077,3.9230769,2.0,7.063487,6.866671,6.7535477,5.5050616,7.326559,5.0139546
